reference,entity,entity_c,requestor,type,notes
ia1,Amphissa,,,,
ia1,Delphi,,,,
ia1,Delphic  Amphiktyony,,,arbitrator,
ia2,Athens,,,,
ia2,League of Corinth,,,,
ia3,Argos,,,arbitrator,
ia3,Kimolos,,,party,
ia3,Melos,,,party,
ia3,League of Corinth,,,request,
ia4,Ionian League,,,arbitrator,
ia4,Lebedos,,y,party,
ia4,Priene,n,,party,
ia5,Alexander III,,,arbitrator,officials of
ia5,Philippi,,y,party,
ia5,Thracians,,,party,
ia6,Alexander III,,y,arbitrator,
ia6,Aspendos,,,party,
ia6,Side,n,,party,
ia7,Alexander III,,,arbitrator,Unknown cities seeking arbitration
ia8,Tarentum,,y,arbitrator,
ia8,Roman Republic,,,party,
ia8,Samnites,,,party,
ia8,Akrotatos of Sparta,,,arbitrator,
ia9,Apollonia,,,party,
ia9,Illyria,,`,party,
ia10,Hamilcar of Carthage,,,arbitrator,
ia10,Messana,,,party,
ia10,Agathokles of Syracuse,,,party,
ia11,Antigonos I,,,arbitrator,
ia11,Lokrians,,,party,group
ia11,Ilium,,,party,not an active party but a beneficiary
ia12,Cnidos,n,,arbitrator,perhaps unsuccessful
ia12,Aitolians,n,,arbitrator,perhaps unsuccessful
ia12,Athens,,,arbitrator,successful
ia12,Rhodes,,,party,
ia12,Demetriod Poliorketes,,,party,
ia13,Antigonos I,,,arbitrator,
ia13,Lebedos,,,party,
ia13,Teos,,,party,
ia13,Mytilene,,,arbitrator,In theory arbitrator set up by Antigonos I
ia14,Antigonos I,,,party,May never have been effective organization
ia14,Demetrios,,,party,May never have been effective organization
ia14,Hellenic League,,,party,May never have been effective organization
ia15,Kos,,,arbitrator,
ia15,Clazomenai,,,party,
ia15,Teos,,,party,
ia15,Antigonos Monophthalmos,n,,arbitrator,Highly disputable restoration
ia16,Koroneia,,,party,
ia16,Lebadeia,,,party,
ia16,Boiotian League,,,arbitrator,
ia17,Boiotian League,,,arbitrator,
ia17,Akraipheia,,,party,
ia17,Kopai,,,party,
ia18,Boura,,,party,Highly fragmentary
ia19,Eretria,,,arbitrator,
ia19,Naxos,,,party,
ia20,Elis,,,arbitrator,
ia20,Phanoteus,,,party,
ia20,Stiris,,,party,
ia21,Cnidos,,,arbitrator,
ia21,Kalymna,,,party,
ia21,Kos,,,party,
ia21,Demetriod Poliorketes,n,,arbitrator,Restored mention
ia22,Pausanias of Thessaly,,,arbitrator,
ia22,Amphissa,,,party,
ia22,Delphi,,,party,
ia23,Thessalian Larisa,n,,arbitrator,
ia23,Hypoknemidian Lokrians,n,,party,
ia23,Epiknemidian Lokrians,n,,party,
ia24,Lysimachos,,,arbitrator,
ia24,Samothrace,,,party,
ia25,Lysimachos,n,,arbitrator,
ia25,Magnesia,n,,party,
ia25,The Pedieis,n,,party,
ia25,Priene,,,party,
ia26,Lysimachos,,,arbitrator,
ia26,Priene,,,party,
ia26,Samos,,,party,
ia26,Rhodes,,,arbitrator,
ia26,Priene,,,party,
ia26,Samos,,,party,
ia27,Pyrrhos,,,arbitrator,Theoretical
ia27,Rome,,,party,Theoretical
ia27,Tarentum,,,party,Theoretical
ia28,Dorians,,,arbitrator,
ia29,Kleonymos of Sparta,,,arbitrator,In official capacity; Should link to Sparta
ia29,Phalasarna,,,party,
ia29,Polyrhenia,,,party,
ia30,Kassandreia,,,arbitrator,
ia30,Melitaia,,,party,
ia30,Chalai,,,party,
ia30,Peuma,,,party,
ia31,Peuma,,,party,
ia31,Pereia,,,party,
ia31,Phylladon,,,party,
ia31,Kassandreia,,,arbitrator,
ia32,Pyllos of Macedon,,,arbitrator,Maybe under authority of Philip V
ia32,Melitaia,,,party,
ia32,Narthakion,,,party,
ia33,Aitolian League,,,Arbitrator / party,
ia33,Akrarnanian League,,,Arbitrator / party,
ia33,Stratos,,,party,
ia33,Agrai,,,party,
ia34,Kallatis,,,party,allied to Istros
ia34,Istros,,,party,allied to Kallatis
ia34,Byzantion,,,party,
ia34,Herakleia Pontica,,,arbitrator,failed arbitration
ia35,Carthage,,,party,Theoretical; rejected
ia35,Roman Republic,,,party,Theoretical; rejected
ia35,Ptolemy II,,,arbitrator,Theoretical; rejected
ia36,Dyme (Achaian League),,,arbitrator,nothing known about the parties of the arbitration
ia37,Elis,,,arbitrator,
ia37,Alipheira,,,party,
ia38,Achaian League,,y,requestor,
ia38,Epidauros,,y,party,
ia38,Corinth,,,party,
ia38,Megara,,,arbitrator,
ia39,Mantineia,,,arbitrator,
ia39,Argos,,,party,
ia39,Achaian League,,,party,
ia39,Aratos,,,party,
ia40,Aitolian League,,,arbitrator,
ia40,Messene,,,party,
ia40,Phigaleia,,,party,
ia41,Thyrrheion,,,arbitrator,
ia41,Matropolis,,,party,
ia41,Oiniadai,,,party,
ia42,Arinoë (Cilicia),,,party,
ia42,Nagidos,,,party,
ia42,Ptolemaic Kingdom (official),,,arbitrator,
ia43,Achaian League,,,request,
ia43,Megalopolis,,,party,
ia43,Orchomenos,,,party,
ia44,Achaian League,n,,request,
ia44,Argos,,,party,
ia44,Kleonai,,,party,
ia45,Megalopolis,,,party,
ia45,Sparta,,,party,
ia46,Achaian League,,,request,
ia46,Arsinoë (Nethana),,,party,
ia46,Epidauros,,,party,
ia46,Pellana,,,arbitrator,
ia46,Aigion,,,arbitrator,
ia46,Thelpoussa,,,arbitrator,
ia47,Eleutherna,,,party,
ia47,Antigonos III,,,party,
ia48,Hierapytna,,,party,
ia48,Antigonos III,,,party,
ia49,Byzantion,,y,arbitrator,
ia49,Achaios,,,party,
ia49,Attalos I,,,party,
ia50,Antigonos III,,,arbitrator,
ia50,Messene,,,party,
ia50,Sparta,,,party,
ia51,Kavaros the Gaul,,,arbitrator,
ia51,Byzantion,,,party,
ia51,Rhodes,,,party,
ia51,Bithynia,,,party,
ia52,Antiochus III,,,party,
ia52,Ptolemy IV,,,party,
ia52,Rhodes,,,mediator,
ia52,Byzantion,,,mediator,
ia52,Kyzikos,,,mediator,
ia52,Aitolian League,,,mediator,
ia53,Philip V,,,party,
